iter	Passed	Remaining
494	739	754
495	741	753
496	743	752
497	745	751
498	746	749
499	748	748
500	749	746
501	751	745
502	752	743
503	754	742
504	755	740
505	757	739
506	758	737
507	760	736
508	761	734
509	763	733
510	764	731
511	766	730
512	767	728
513	769	727
514	770	726
515	772	724
516	773	723
517	775	721
518	776	719
519	778	718
520	780	717
521	781	715
522	783	714
523	784	712
524	786	711
525	788	710
526	789	708
527	791	707
528	793	706
529	794	704
530	796	703
531	797	701
532	799	700
533	800	698
534	802	697
535	803	695
536	805	694
537	807	693
538	808	691
539	810	690
540	812	689
541	813	687
542	815	685
543	816	684
544	818	683
545	820	681
546	821	680
547	823	679
548	824	677
549	826	676
550	827	674
551	829	673
552	831	671
553	832	670
554	833	668
555	835	667
556	837	665
557	838	664
558	840	662
559	841	661
560	843	660
561	845	658
562	846	657
563	848	655
564	849	654
565	851	652
566	853	651
567	854	649
568	856	648
569	857	647
570	859	645
571	860	644
572	862	642
573	863	641
574	865	639
575	867	638
576	868	636
577	870	635
578	871	633
579	873	632
580	874	630
581	876	629
582	877	627
583	879	626
584	881	625
585	882	623
586	884	622
587	885	620
588	887	619
589	888	617
590	890	616
591	892	614
592	893	613
593	895	611
594	896	610
595	898	608
596	900	607
597	901	606
598	903	604
599	904	603
600	906	601
601	907	600
602	909	598
603	910	597
604	912	595
605	913	593
606	914	592
607	916	590
608	917	589
609	919	587
610	920	586
611	922	584
612	923	583
613	925	581
614	926	580
615	928	578
616	929	577
617	931	575
618	932	574
619	934	572
620	935	570
621	937	569
622	938	568
623	940	566
624	941	564
625	943	563
626	944	561
627	946	560
628	947	558
629	948	557
630	950	555
631	951	554
632	953	552
633	954	551
634	956	549
635	957	548
636	958	546
637	960	544
638	961	543
639	963	541
640	964	540
641	966	538
642	967	537
643	969	535
644	970	534
645	972	532
646	973	531
647	975	529
648	976	528
649	978	526
650	979	525
651	981	523
652	982	522
653	983	520
654	985	519
655	986	517
656	988	515
657	989	514
658	991	512
659	992	511
660	993	509
661	995	508
662	996	506
663	998	505
664	999	503
665	1001	502
666	1003	500
667	1004	499
668	1006	497
669	1007	496
670	1009	494
671	1010	493
672	1012	491
673	1013	490
674	1014	488
675	1016	487
676	1017	485
677	1019	484
678	1020	482
679	1022	481
680	1023	479
681	1025	478
682	1026	476
683	1028	475
684	1029	473
685	1031	472
686	1032	470
687	1034	469
688	1035	467
689	1037	466
690	1038	464
691	1040	463
692	1041	461
693	1043	460
694	1044	458
695	1046	457
696	1047	455
697	1049	454
698	1050	452
699	1052	450
700	1053	449
701	1057	448
702	1059	447
703	1060	446
704	1062	444
705	1064	443
706	1065	441
707	1066	440
708	1068	438
709	1069	436
710	1071	435
711	1072	433
712	1073	432
713	1075	430
714	1076	429
715	1078	427
716	1079	426
717	1081	424
718	1082	423
719	1084	421
720	1085	420
721	1087	418
722	1088	417
723	1090	415
724	1091	413
725	1092	412
726	1094	410
727	1095	409
728	1097	407
729	1098	406
730	1100	404
731	1101	403
732	1103	401
733	1104	400
734	1106	398
735	1107	397
736	1109	395
737	1110	394
738	1112	392
739	1113	391
740	1115	389
741	1117	388
742	1118	386
743	1119	385
744	1121	383
745	1122	382
746	1124	380
747	1125	379
748	1126	377
749	1128	376
750	1130	374
751	1131	373
752	1133	371
753	1134	370
754	1136	368
755	1137	367
756	1139	365
757	1140	364
758	1142	362
759	1144	361
760	1145	359
761	1147	358
762	1148	356
763	1150	355
764	1151	353
765	1153	352
766	1154	350
767	1156	349
768	1157	347
769	1159	346
770	1160	344
771	1162	343
772	1163	341
773	1165	340
774	1166	338
775	1168	337
776	1170	335
777	1171	334
778	1173	332
779	1174	331
780	1176	329
781	1177	328
782	1179	326
783	1180	325
784	1181	323
785	1183	322
786	1185	320
787	1186	319
788	1188	317
789	1189	316
790	1190	314
791	1192	313
792	1193	311
793	1195	310
794	1196	308
795	1198	307
796	1199	305
797	1201	304
798	1203	302
799	1204	301
800	1205	299
801	1207	298
802	1209	296
803	1210	295
804	1211	293
805	1213	292
806	1215	290
807	1216	289
808	1217	287
809	1219	286
810	1220	284
811	1222	282
812	1223	281
813	1225	279
814	1226	278
815	1228	276
816	1229	275
817	1231	273
818	1232	272
819	1234	270
820	1235	269
821	1237	267
822	1238	266
823	1240	264
824	1241	263
825	1243	261
826	1244	260
827	1246	258
828	1247	257
829	1249	255
830	1250	254
831	1252	252
832	1253	251
833	1255	249
834	1256	248
835	1258	246
836	1259	245
837	1261	243
838	1262	242
839	1264	240
840	1265	239
841	1267	237
842	1268	236
843	1270	234
844	1271	233
845	1273	231
846	1274	230
847	1276	228
848	1277	227
849	1279	225
850	1280	224
851	1282	222
852	1283	221
853	1285	219
854	1286	218
855	1288	216
856	1289	215
857	1291	213
858	1292	212
859	1294	210
860	1295	209
861	1297	207
862	1298	206
863	1300	204
864	1301	203
865	1303	201
866	1304	200
867	1305	198
868	1307	197
869	1308	195
870	1310	194
871	1311	192
872	1313	191
873	1314	189
874	1316	188
875	1317	186
876	1319	185
877	1320	183
878	1322	182
879	1324	180
880	1325	179
881	1326	177
882	1328	176
883	1329	174
884	1331	173
885	1332	171
886	1334	169
887	1335	168
888	1337	166
889	1338	165
890	1340	163
891	1341	162
892	1343	160
893	1344	159
894	1346	157
895	1347	156
896	1349	154
897	1350	153
898	1352	151
899	1353	150
900	1355	148
901	1356	147
902	1358	145
903	1359	144
904	1361	142
905	1362	141
906	1364	139
907	1365	138
908	1367	136
909	1368	135
910	1370	133
911	1371	132
912	1373	130
913	1374	129
914	1376	127
915	1377	126
916	1379	124
917	1380	123
918	1382	121
919	1383	120
920	1385	118
921	1386	117
922	1388	115
923	1390	114
924	1391	112
925	1392	111
926	1394	109
927	1396	108
928	1397	106
929	1398	105
930	1400	103
931	1402	102
932	1403	100
933	1405	99
934	1406	97
935	1408	96
936	1409	94
937	1411	93
938	1412	91
939	1414	90
940	1415	88
941	1417	87
942	1418	85
943	1420	84
944	1421	82
945	1423	81
946	1425	79
947	1427	78
948	1428	76
949	1430	75
950	1431	73
951	1433	72
952	1434	70
953	1436	69
954	1437	67
955	1439	66
956	1440	64
